ds,yhat,yhat_lower,yhat_upper
2014-01-31,14790.564205465573,5156.317465055735,24051.386402987464
2014-02-28,5778.539467165992,-3563.7651822368057,15692.171464002398
2014-03-31,41875.34394079963,32993.2601395801,50935.34717172109
2014-04-30,25662.72402651047,16461.151341598314,34675.3614358949
2014-05-31,25711.92821567328,16266.014025351024,34736.47167098736
2014-06-30,26711.737280087422,17882.50501191885,37036.865197140745
2014-07-31,26438.133907622905,17011.299645069008,36658.67778224259
2014-08-31,30856.59159922962,21655.700170842174,39335.19367251706
2014-09-30,67621.11814833555,58423.65837494277,77023.62574796441
2014-10-31,36077.38727278694,26885.50798269024,44845.61227106444
2014-11-30,78301.26791317387,69615.59449536678,88346.39760503719
2014-12-31,69991.58410025142,60430.4088461854,79477.45518186904
2015-01-31,18738.341178517105,9819.656340301997,27487.93745146338
2015-02-28,13880.715060242703,5380.459643892471,23523.910784595162
2015-03-31,49598.62624462928,40623.44501553498,58462.22805114918
2015-04-30,34576.01666919363,25626.762229011325,43918.617454098465
2015-05-31,26387.61289485117,17399.09456972933,35927.83942481796
2015-06-30,31085.9253443162,22255.500504680585,40332.96010544935
2015-07-31,33255.72041581443,23985.674288621256,42347.67314983948
2015-08-31,40664.294055674436,30921.83876481239,50036.58723471976
2015-09-30,76492.06827402902,66685.56720003813,85465.87138113327
2015-10-31,35984.178310922885,27502.737310538763,44474.79343284744
2015-11-30,86921.11698391152,77414.24494314501,96153.60617527335
2015-12-31,75920.60614205885,67157.94855998829,85751.08470424169
2016-01-31,23165.28367711312,13278.165335005335,32666.735294788043
2016-02-29,14902.055132275764,6485.089702258859,24647.095798326514
2016-03-31,51723.80468081899,41918.577133203755,60618.96349384642
2016-04-30,33016.27789308355,23646.617337935928,42187.067635427986
2016-05-31,49868.217037052666,40907.20483833543,59363.51735176368
2016-06-30,44187.68679022162,34743.135084496265,53743.18202338823
2016-07-31,39287.64331996435,29753.309912010754,48741.6682297308
2016-08-31,37700.29519561711,28217.524551249084,47029.244671884466
2016-09-30,75996.70555224712,66960.19080056829,85865.27108694965
2016-10-31,62955.827382384974,54159.72580028614,72083.41942043624
2016-11-30,88181.70952672785,79020.35016837339,97698.56795653717
2016-12-31,85608.1162925682,76127.98599303447,94859.05667662394
2017-01-31,38211.23616768546,29190.56524664852,47751.81080953573
2017-02-28,25246.659744488505,16456.259290054004,34565.344467117495
2017-03-31,61845.98893324785,51954.618935132276,70951.12303704661
2017-04-30,44535.973570703536,35235.26964117622,53743.29317767667
2017-05-31,53069.818451340354,43476.66067513507,62087.9616150078
2017-06-30,50739.85279709654,42060.397288776425,59984.47405624649
2017-07-31,48243.15074859721,39166.52908465587,57083.584178588164
2017-08-31,49797.13243472291,40705.44728682078,59157.223279606296
2017-09-30,87518.63702544833,78485.74242831398,96717.70961314517
2017-10-31,65271.07068934988,56683.165445344464,74423.72009042898
2017-11-30,99056.32019157731,90157.6940671496,108392.22120885823
2017-12-31,93756.9515866659,84698.19067888701,103978.40594382452
2018-01-31,44491.08130733327,35242.553384811195,53828.24319540706
2018-02-28,35661.18975376032,26175.440883554078,44713.05601691096
2018-03-31,71959.64168352314,62703.329943824145,81146.53642008947
2018-04-30,55942.16446874853,46278.984477420265,65151.94838894988
2018-05-31,56193.01611729663,46569.82254749,65741.65292755835
2018-06-30,57387.967885610575,47759.06821221948,66624.92034001763
2018-07-31,57316.0119738595,48240.31651601292,67250.65089764011
2018-08-31,61936.11712956408,52184.68525786203,71054.5250805351
2018-09-30,98895.78638240362,89565.66919903074,108045.00489398213
2018-10-31,67553.70296748477,58368.92227813492,77214.04484749043
2018-11-30,109972.72631024642,100730.9805782079,118765.78519383923
2018-12-31,101864.68995273435,92227.3063191267,111591.57595652077
